,pertanyaan,jawaban
2065,"Bagaimana Anda tahu Anda memiliki terapis yang tepat untuk Anda? 
  Bagaimana saya tahu bagaimana ""melatih"" terapis saya untuk dapat memberi saya apa yang saya butuhkan dari perawatan?","Pertanyaan yang bagus! Tugas klien adalah berkonsentrasi pada menyatakan rincian masalah mereka dan untuk terlibat dalam dialog tentang bidang-bidang ini dengan terapis. Pekerjaan yang paling sulit bagi klien adalah kesediaan untuk memeriksa sendiri, meminta pertanggungjawaban diri sendiri atas hubungan dan hubungannya dan situasi hidup, dan dengan jujur ​​merasakan perasaan yang sulit, seringkali menyakitkan dan rasa tidak aman yang menciptakan situasi yang meresahkan. Layanan mereka. Lalu temukan diri Anda seorang terapis berbeda yang merasa cukup aman dan berpengetahuan luas dalam keterampilan mereka untuk tidak memerlukan pelatihan oleh klien mereka."
2066,"Bagaimana Anda tahu Anda memiliki terapis yang tepat untuk Anda? 
  Bagaimana saya tahu bagaimana ""melatih"" terapis saya untuk dapat memberi saya apa yang saya butuhkan dari perawatan?","Berpikir apakah Anda memiliki terapis yang tepat atau tidak bisa luar biasa jika Anda tidak yakin apa yang Anda inginkan atau butuhkan. Tetapi pikirkan ini, Anda merasa aman dan nyaman bahwa Anda membagikan apa yang belum pernah Anda katakan kepada siapa pun. Anda merasa mengerti dan mendengarkan. Anda merasakan dukungan mereka. Anda mempercayai mereka. Apakah Anda yakin mereka dapat membantu Anda? Jika tidak, maka itu mungkin membuat Anda sulit untuk membuka. Sejauh bagaimana Anda bagaimana melatih terapis Anda untuk membantu Anda. Jika Anda tahu apa yang Anda butuhkan yang harus Anda lakukan adalah membagikan ini dengan terapis Anda. Jika Anda tidak tahu maka terapi adalah proses kolaboratif sehingga Anda dan terapis Anda akan bekerja sama untuk mencari tahu kebutuhan Anda dan cara terbaik untuk memenuhi mereka."
2067,"Bagaimana Anda tahu Anda memiliki terapis yang tepat untuk Anda? 
  Bagaimana saya tahu bagaimana ""melatih"" terapis saya untuk dapat memberi saya apa yang saya butuhkan dari perawatan?","Terapis ""benar"" adalah kombinasi dari keahlian di bidang yang Anda butuhkan, dan sesuai dengan seberapa nyaman perasaan Anda dalam berbicara dan berbagi dengan orang itu. Orang umumnya cukup pandai menentukan apakah seseorang cocok atau tidak dengan kepribadian dan gaya mereka; Dan kunci lain untuk mengetahui apakah terapi bekerja adalah bertanya pada diri sendiri: ""Apakah saya melihat bahwa perubahan telah terjadi sejak bekerja dengan terapis ini?"" Apakah saya merasa lebih baik? Apakah saya mencapai tujuan yang saya tetapkan pada awal terapi? Apakah situasi sulit menjadi lebih mudah dengan bagaimana saya menanganinya? Melatih terapis benar -benar tidak perlu, karena yang dibutuhkan hanyalah komunikasi yang terbuka dan jujur ​​untuk memberikan umpan balik yang efektif yang pada gilirannya akan membantu Anda dan tujuan Anda."
2068,"Bagaimana Anda tahu Anda memiliki terapis yang tepat untuk Anda? 
  Bagaimana saya tahu bagaimana ""melatih"" terapis saya untuk dapat memberi saya apa yang saya butuhkan dari perawatan?","Anda memiliki terapis yang tepat jika Anda merasa aman dengan orang itu. Keselamatan terdiri dari perasaan bahwa siapa Anda dan apa yang Anda katakan dihargai. Terapis yang tepat bukanlah 'semua orang yang Anda ketahui, Anda harus mematuhi'. Dia adalah orang dengan pengetahuan terampil yang menghormati Anda sebagai mitra dalam penemuan diri Anda. Terapis yang tepat juga orang yang baik"
2069,"Bagaimana Anda tahu Anda memiliki terapis yang tepat untuk Anda? 
  Bagaimana saya tahu bagaimana ""melatih"" terapis saya untuk dapat memberi saya apa yang saya butuhkan dari perawatan?","Ini adalah pertanyaan yang sangat penting, karena Anda tidak ingin membuang waktu dan uang Anda dengan terapis yang tidak cocok untuk Anda. Saya pikir faktor terpenting yang membuat pertandingan terapis yang baik adalah kepercayaan- apakah Anda percaya orang ini untuk dapat membantu Anda memenuhi tujuan terapi Anda? Ada beberapa hal yang dapat Anda lakukan di muka untuk menguji ini, tanpa menghabiskan uang receh. Pertama, mintalah rekomendasi pribadi dari teman atau orang lain. Jika Anda mengenal seseorang yang memiliki pengalaman hebat dengan terapis tertentu, Anda akan merasa lebih percaya diri pada orang itu langsung. Kedua, lakukan riset online Anda. Google nama orang tersebut dan baca semua yang dapat Anda temukan. Banyak terapis mulai mengembangkan lebih banyak kehadiran online karena mereka tahu itu cara masa depan klien dapat mengembangkan kepercayaan tanpa melangkah di pintu mereka. Lihat apakah mereka memiliki blog, posting media sosial, atau bahkan hanya membaca nada konten di situs web mereka. Ini mungkin memberi Anda sekilas gaya terapi mereka. Akhirnya, Anda dapat menelepon atau mengirim email kepada terapis potensial dan memberikan gambaran singkat tentang masalah presentasi Anda dan menggambarkan apa yang Anda cari dalam terapis ideal Anda. Sepertinya Anda memiliki gagasan khusus tentang apa yang Anda cari ... sebagian besar terapis akan jujur ​​jika mereka tidak merasa akan memenuhi harapan Anda. Beberapa terapis menawarkan konsultasi telepon pendek gratis yang dapat membantu Anda berdua memutuskan apakah Anda akan bekerja sama dengan baik. Kerjakan pekerjaan rumah Anda di muka, dan Anda akan berada di dalam perjalanan untuk menemukan terapis hebat untuk Anda!"
2070,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Ini lebih dari sekadar normal, diharapkan! Sejujurnya, ada beberapa hari di mana setidaknya satu klien belum menangis selama terapi sepanjang hari. -Ijp"
2071,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Ya itu benar -benar normal! Seorang terapis yang baik dapat membantu Anda merasa cukup aman untuk benar -benar mengidentifikasi luka yang menyakitkan. Ada beberapa hal yang perlu diteriakkan sebelum mereka bisa sembuh. Terapis baik -baik saja dengan air mata dan membeli jaringan oleh kasus ini. Yang mengatakan, jika Anda tidak menangis selama terapi itu tidak berarti Anda melakukannya ""salah"". Selama Anda merasa aman dan memiliki perasaan bahwa terapis Anda ""membuat Anda"", dan Anda merasakan kemajuan selama perawatan Anda, Anda melakukan terapi ""benar""!"
2072,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?",Benar -benar normal untuk menangis dalam sesi terapi. Terkadang klien memiliki cerita yang tidak pernah mereka bagikan dengan siapa pun atau tidak pernah berkata dengan keras dan itu menghasilkan menangis. Menangis adalah reaksi normal untuk merasa terluka atau sedih atau terkadang marah. Saya menyambut semua menangis di ruang terapi saya.
2073,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Menangis dalam terapi adalah respons alami, melegakan apa yang Anda alami. Ini adalah ekspresi emosi, itulah sebabnya Anda pergi ke terapi - untuk mengekspresikan diri Anda dalam ruang yang aman dan tidak menghakimi. Daripada mencoba berhenti menangis, duduk di sofa dengan itu sampai selesai dan Anda telah selesai dengan kliring. Energi tidak diblokir, bergerak - hal yang baik. Senang menangis."
2074,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Meskipun tidak semua orang menangis dalam terapi. Menurut pendapat saya, menangis adalah emosi yang diungkapkan oleh beberapa orang dalam terapi. Menangis adalah sesuatu yang diungkapkan oleh beberapa orang ketika sulit untuk membahas situasi yang mungkin belum pernah dibahas, ketika membahas pengalaman traumatis, dan kadang -kadang menangis bahkan telah terjadi pada beberapa klien masa lalu saya ketika mereka memiliki terobosan dalam proses terapi mereka."
2075,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Umumnya sangat normal untuk menangis dalam terapi, dan karena banyak alasan. Terapi harus menjadi ruang yang aman untuk mengeksplorasi emosi saat muncul dan bagaimana Anda mengatasi emosi ini. Saya akan mendorong Anda untuk berbicara dengan terapis Anda tentang menangis dan untuk mengeksplorasi pengalaman emosi/perasaan Anda. Terkadang orang akan meminta maaf karena menangis. Namun, emosi dan ekspresi emosi adalah bagian dari menjadi manusia. Tidak ada emosi ""benar"" atau ""salah"" untuk dimiliki. Bagaimana kita mengekspresikan dan mengatasi emosi lebih dari sesuatu untuk dijelajahi dalam terapi jika menghambat hidup Anda. Entah ekstrem dalam menjaga emosi dan menghindari atau merasa seperti emosi Anda menjalankan hidup/perjuangan Anda untuk mengatur emosi Anda adalah sesuatu untuk dijelajahi dalam terapi, karena ini seringkali merupakan yang paling menyedihkan dan merepotkan bagi orang -orang. Semoga ini memberikan wawasan."
2076,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?",Sangat normal untuk menangis dalam terapi. Terapi adalah tempat untuk jujur ​​dan mengeksplorasi perasaan Anda tanpa merasa dihakimi. Kejujuran adalah satu -satunya cara Anda akan mendapat manfaat dari terapi dan itu berarti bersedia untuk melihat emosi sejati Anda daripada menghindarinya.
2077,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Sangat! Terapi adalah waktu terbaik untuk memiliki kesempatan
untuk membuka dan menangani berbagai emosi yang mungkin mengganggu Anda.
Terapi adalah ""ruang aman"" untuk meluangkan waktu dari kehidupan sehari -hari Anda dan
mengatasi emosi yang bersembunyi di bawahnya. Jika, untuk beberapa alasan, Anda
Tidak nyaman dalam terapi, Anda harus mengatasi masalah ini dengan terapis Anda
atau temukan seseorang yang Anda rasa lebih nyaman membuka dan mengekspresikan
diri Anda nyaman."
2078,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?",Menangis sedang membersihkan. Ini adalah pelepasan energi dan racun. Menangis adalah hal yang baik dan cara yang bagus untuk melepaskan dan bergerak maju!
2079,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Terapi adalah proses pribadi dan sering membawa banyak emosi ke garis depan, jadi ya, sangat normal untuk menangis dalam terapi. Seringkali Anda berbicara tentang tantangan dan ketakutan Anda yang terdalam, sehingga cukup khas untuk mengharapkan air mata ketika membuat diri Anda begitu rentan."
2080,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Itu benar -benar normal. Terapi menyediakan ruang di mana Anda dapat bebas mengekspresikan diri dan mengalami semua emosi Anda sepenuhnya. Menangis adalah bentuk pelepasan, dan banyak orang merasa seperti mereka tidak memiliki ruang lain di mana mereka dapat mengeluarkan emosi mereka. Menangis bisa menjadi cara yang sehat untuk hadir dengan emosi Anda. Meskipun tidak semua orang akan menangis selama sesi terapi, Anda bukan yang pertama, dan jelas bukan yang terakhir."
2081,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Dang benar itu normal, dan bahkan perlu pada waktu -waktu. Sheeping memberikan pergeseran kimia yang juga menggeser pengalaman yang Anda miliki. Tidak hanya manfaat detoksifikasi fisik mereka untuk menangis, tetapi ada juga pelepasan emosional yang menyertainya. Sheeping bisa menjadi langkah pertama untuk menggabungkan penyumbatan, sehingga energi Anda dapat mengalir lebih lancar."
2082,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Ini adalah salah satu kasus di mana ""tidak ada jawaban yang salah."" Banyak orang menangis, sementara yang lain tidak. Beberapa orang berbicara dengan tenang, yang lain mungkin berteriak, dan beberapa orang merasa sulit untuk mengatakan apa pun dalam pengaturan terapeutik. Kantor saya memiliki jaringan yang mudah di tangan, dan setiap klien yang menggunakannya diyakinkan bahwa mereka bebas untuk mengekspresikan emosi mereka rasakan di ruang yang aman."
2083,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Bagi banyak orang, menangis adalah katup pelepas stres. Tidak apa -apa untuk menangis dalam konseling!"
2084,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Saya suka melihat air mata! Ada pepatah lama, ""Mata adalah jendela bagi jiwa."" Emosi eksternal adalah indikator yang cukup baik tentang apa yang terjadi di dalam orang tersebut, dan jika air mata ada, itu sering berarti orang tersebut sedang memproses (yaitu, bergerak maju) melalui emosi mereka! Saya lebih khawatir ketika saya tidak melihat air mata dari klien saya karena itu bisa berarti klien ""macet."" Jadi, jangan merasa tidak enak untuk menangis! Anda bergerak melalui emosi Anda ke tempat penyembuhan!"
2085,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?",Menangis? Tentu saja Anda bisa menangis! Terapi adalah tempat yang aman di mana Anda bisa menjadi siapa Anda tanpa takut dihakimi. Setiap konselor/terapis didedikasikan untuk melindungi kerahasiaan (dengan beberapa pengecualian) dari semua yang terjadi dalam sesi. Menangis membantu melepaskan ketegangan dan membantu mengamankan ruang emosional bebas. Ini dapat memberi Anda keberadaan pikiran bahwa tuntutan terapi.
2086,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Benar -benar normal! Terapi harus menjadi tempat di mana Anda bisa merasa aman untuk mengeksplorasi dan mengekspresikan semua emosi Anda. Beberapa klien mungkin menangis lebih mudah daripada yang lain dan tidak ada ""cara yang benar"" untuk melakukan terapi. Saya memiliki banyak klien yang menangis setiap sesi. Dan saya memiliki banyak klien lain yang menangis secara berkala. Dan saya memiliki orang lain yang belum menangis sekali. Setiap orang berbeda namun terapi harus menjadi tempat di mana Anda merasa aman mengekspresikan diri."
2087,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Tentu saja! Ada beberapa orang yang tidak akan pernah menangis selama sesi dan beberapa yang selalu menangis. Dalam konseling Anda mungkin berbicara tentang topik dan pengalaman yang sangat rentan dan bahkan mungkin pertama kalinya Anda berbicara dengan seseorang tentang keprihatinan, pikiran, atau perasaan Anda. Sangat wajar untuk menangis jika Anda sangat tersentuh."
2088,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Ya, ini benar -benar normal! Menangis adalah bagian dari memproses hal -hal yang sulit, tidak peduli usia, jenis kelamin atau latar belakang Anda dan sesi terapeutik adalah ruang yang aman untuk melakukan ini. Terkadang menangis dapat menawarkan bantuan atau menyediakan ruang untuk keaslian yang lebih dalam dalam sesi saat Anda membiarkan kekuatan dan kerentanan Anda bersinar sesuai selaras."
2089,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Menangis selama sesi terapi bukanlah hal yang aneh. Ketika kita berada di lingkungan yang aman, seperti kantor terapis, itu memungkinkan kita untuk melucuti pertahanan kita. Dengan melucuti pertahanan kita, kita dapat merasakan dan mengekspresikan emosi kita. Seringkali, emosi ini mengakibatkan air mata. Saya pribadi merasa bahwa menangis dalam sesi terapi adalah salah satu bagian paling indah dari proses penyembuhan."
2090,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Ya, ini sangat normal. Beberapa orang sering menangis, tetapi tidak sepenuhnya. Mereka pandai menangis tetapi sepertinya tidak pernah sembuh dari apa yang menyakiti mereka. Jerawan seharusnya baik untuk Anda. Air mata mengandung racun, bagaimanapun juga. Dan bahan kimia yang baik dilepaskan dalam tubuh setiap kali kita menangis dengan kesedihan. Tidak pernah menilai perasaan Anda saat Anda memilikinya; Selalu ada alasan ada sesuatu yang menjadi masalah besar bagi Anda. Cry untuk rasa sakit Anda sendiri, bukan hanya untuk orang lain '. Menangis dalam film dan ketika mendengarkan lagu-lagu sedih adalah cara yang baik untuk melepaskan beberapa emosi yang dibangun. Tetapi Anda mungkin tidak berurusan langsung dengan rasa sakit Anda sendiri ketika itu terjadi. Ingatlah tidak apa -apa untuk menangis sendiri. Biarkan diri Anda menangis karena susu yang tumpah. Anda tidak perlu menunggu sampai seseorang meninggal. Anda bisa menangis tentang apa pun yang memicu Anda, tidak peduli seberapa sepele. Jangan menetapkan batas waktu menangis. Hati Anda akan memutuskan kapan cukup sudah cukup. Jika Anda terhubung dengan sumber rasa sakit Anda yang sebenarnya, Anda akan menemukan itu terbatas. Tetapi Anda tidak dapat menentukan batas waktu untuk kesedihan Anda. Sabar. Ambil di mana Anda tinggalkan. Jika Anda harus menjaga bibir atas yang kaku, mungkin karena Anda sedang bekerja, periksa sendiri nanti dan lihat bagaimana perasaan Anda. Renungkan insiden secara pribadi jika Anda merasa itu belum terselesaikan. Jangan stres jika Anda tidak dapat menangkap kembali rasa sakitnya. Air mata seperti kucing: Anda tidak bisa memimpin mereka dengan tali. Hanya mengucapkan kata -kata baik untuk diri sendiri. Saat Anda menangis, perhatikan self-talk yang kritis dan tidak valid seperti ini: Ini bukan masalah besar yang terlalu sensitif anak laki-laki/perempuan tidak menangis, katakan, ""Maaf"" dan ""Aku bersamamu "" dan aku mencintaimu."" Jangan katakan hal -hal ini untuk membuat diri Anda berhenti menangis. Katakanlah mereka untuk berbelas kasih kepada diri sendiri. Menangis di depan umum. Jika Anda belum pernah menangis di depan umum sebelumnya, Anda mungkin terkejut menemukan bahwa banyak orang akan tertarik kepada Anda. Air mata Anda membuat Anda rentan, dan karenanya tidak ada ancaman bagi orang lain. Kebaikan adalah respons yang sering terhadap air mata publik. Jika Anda ingat hanya satu hal dari posting ini, biarlah itu adalah belas kasih diri."
2091,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Ya, banyak orang menangis selama terapi! Menangis dapat menawarkan jenis rilis karena tubuh Anda bereaksi terhadap input sistem saraf otonom Anda. Beberapa orang melepaskan endorfin ketika mereka menangis, yang dapat membuat Anda merasa lebih baik dari sebelumnya. Jika Anda khawatir tentang seberapa banyak Anda menangis selama terapi, mungkin baik untuk berdiskusi dengan terapis Anda. Mereka mungkin dapat membuat beberapa saran tentang bagaimana menghormati perasaan Anda dengan cara yang cocok untuk Anda."
2092,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Ya, adalah normal untuk mengalami banyak emosi yang berbeda dalam terapi karena Anda berurusan dengan masalah dan situasi yang penting bagi Anda. Terkadang Anda mungkin menangis, kadang -kadang Anda mungkin merasakan sukacita, dan kadang -kadang Anda mungkin merasa lega. Terkadang Anda bahkan mungkin merasa marah. Semua yang Anda rasakan dalam terapi dapat digunakan untuk membantu Anda mempelajari lebih lanjut tentang diri Anda dan membantu Anda tumbuh."
2093,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Ya, sangat normal untuk menangis selama janji temu terapi. Ketika Anda bertemu dengan seorang penasihat, Anda membuka diri dan berbagi sisi diri Anda yang sangat rentan. Melalui introspeksi yang dalam ini, emosi (kadang -kadang tidak terduga) dapat keluar dan ini benar -benar baik -baik saja dan sangat sehat. Penelitian telah menunjukkan bahwa tangisan mengurangi rasa sakit dengan melepaskan oksitosin dan endorfin dan mengurangi stres melalui pelepasan hormon pengurangan stres."
2094,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Tentu saja. Terapi membantu kita bekerja melalui hal -hal yang sulit. Ini adalah tempat yang aman di mana kita bisa mengecewakan penjaga kita. Ketika Anda mendapatkan masalah secara verbal, respons fisik dan emosional benar -benar alami. Menangis adalah rilis yang sehat. Banyak orang menangis selama terapi - beberapa mungkin sesekali, dan yang lain mungkin setiap sesi. Di mana pun Anda berada di spektrum itu, itu benar -benar normal dan Anda tidak sendirian."
2095,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Ya, tentu saja. Dalam terapi Anda akan mempelajari topik dan perasaan yang sering ditekan sepanjang hidup sehari -hari. Ketika Anda menjelajahi banyak emosi mungkin muncul, kemarahan, kekecewaan, kesedihan, frustrasi, kesedihan, untuk beberapa nama. Ini dan banyak emosi lain sering mengarah pada menangis dan terapis Anda akan ada di sana untuk menahan ruang dan mendukung Anda melalui itu. Menangis adalah pelepasan energi yang sangat sehat sehingga merasa cukup nyaman dengan terapis Anda sehingga terjadi selama sesi adalah hal yang hebat!"
2096,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Sangat normal untuk menangis dalam terapi. Saya membayangkan bahwa Anda bersikap rentan dan terbuka untuk menjelajahi beberapa masalah unggulan yang mendalam. Juga, mungkin pertanda baik bahwa Anda merasa aman dan dipegang dengan terapis Anda bahwa Anda dapat dengan bebas mengekspresikan emosi yang kuat itu."
2097,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Perubahan adalah tentang memberikan makna baru pada pengalaman masa lalu, untuk memungkinkan emosi yang kita simpan dalam tubuh kita dibebaskan. Menangis adalah normal dan salah satu cara untuk memproses emosi untuk membantu melepaskan dan mengintegrasikan pengalaman kita."
2098,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Ya. Konseling kadang -kadang sangat emosional. Saya telah merekomendasikan kepada klien, pada Occation, bahwa mereka membiarkan diri mereka sendiri libur setelah melakukan pekerjaan trauma."
2099,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Menangis masuk
Terapi jelas normal. Banyak orang, jika tidak sebagian besar, menangis dalam terapi. Mengapa
Apakah itu terjadi? Selama terapi Anda akan mengeksplorasi pikiran dan emosi Anda. Beberapa
dari mereka akan menyenangkan: kegembiraan, harapan, kegembiraan, dll., Jadi Anda akan tersenyum dan
tertawa. Orang lain mungkin lebih tidak menyenangkan, seperti kesedihan, kesedihan atau kemarahan, jadi Anda
mungkin terasa seperti berteriak atau menangis. Sehat untuk menerima dan merasakan semua milik Anda
emosi dan untuk mengekspresikannya dengan cara yang tepat. Menangis adalah cara yang baik
Mengekspresikan kesedihan, kekecewaan, dan ketidakberdayaan. Jika Anda mencoba memotong beberapa
Dari perasaan ""negatif"", Anda cenderung juga memotong
yang positif dan terasa mati rasa sebagai hasilnya. Menangis dalam terapi berbicara kepada Anda
kemampuan untuk bersantai dan melepaskannya di hadapan manusia lain (penting
Untuk hubungan yang sehat!) Dan itu juga berbicara tentang keterampilan terapis Anda di
Membuat Anda merasa aman dan nyaman. Bagus untukmu! Ini terapi Anda dan Anda
bisa menangis jika Anda mau!"
2100,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Ya, sangat normal untuk menangis dalam terapi. Mengekspresikan perasaan Anda sangat katarsis dan memungkinkan Anda melakukan pemahaman yang lebih dalam ke dalam diri Anda dan bagaimana masalah ini mempengaruhi Anda."
2101,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?",Saya akan mengatakan itulah inti dari terapi! Menangislah hatimu. Terapi harus menjadi tempat di mana Anda merasa baik -baik saja untuk menjadi rentan saat Anda mengerjakan barang -barang Anda. Saat pikiran dan hati Anda akhirnya bertemu dan Anda membuat koneksi yang perlu Anda buat.
2102,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Adalah normal untuk merasakan serangkaian emosi dalam terapi. Kebanyakan orang menggunakan terapi sebagai cara untuk memproses perjuangan hidup mereka dan sering kali ini mengakibatkan mereka menangis selama sesi. Menangis adalah cara untuk melepaskan emosi negatif itu dan mengatasi apa yang terjadi dalam hidup. Kita telah percaya bahwa menangis adalah sesuatu yang buruk pada waktu -waktu tertentu dan karenanya telah mengkondisikan diri untuk menghindari menangis di tempat -tempat umum. Namun dalam terapi, di mana tidak ada harapan seperti itu dan di mana Anda bisa terbuka dan jujur ​​tentang bagaimana perasaan Anda normal untuk menangis."
2103,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Ya, tangisan pasti normal selama terapi. Siapa pun di tengah kesadaran baru tentang bagaimana mereka telah terluka, atau merasa putus asa atau kesedihan yang besar dari situasi kehidupan yang memberatkan, tentu saja akan merasakan air mata muncul. Anda saat Anda memilah -milah emosi Anda yang menyakitkan."
2104,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Terapi pada dasarnya adalah tempat yang aman untuk membahas kenangan atau pengalaman yang sulit, atau menyakitkan dan dengan demikian adalah normal bahwa perasaan segala jenis, termasuk kesedihan, kehilangan, frustrasi, kekecewaan, dll mungkin timbul. Ini adalah bagian dari pemrosesan dan membawa penutupan ke hal -hal yang mungkin telah disingkirkan seumur hidup dan sekarang dapat dihadapi dan ditangani. Perubahan juga seringkali tidak mudah, dan dapat menyebabkan menangis, baik dari frustrasi dan diatur kembali ... atau juga dari kegembiraan dan pencapaian!"
2105,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Ini pertanyaan yang bagus! Saya sering bertanya -tanya tentang apa arti normal sebenarnya. Konseling adalah proses pribadi di mana banyak emosi dapat dialami oleh orang -orang. Saya tidak percaya hanya Anda yang menangis dalam terapi. Terapi dapat memunculkan banyak emosi seperti tawa, kemarahan, frustrasi, kelegaan, kesedihan, kesedihan, dan banyak lagi emosi. Berbicara dengan konselor Anda tentang pengalaman Anda mungkin memberikan wawasan dan penyembuhan untuk Anda. Jika menangis mengejutkan Anda dan Anda merasa nyaman itu mungkin sesuatu yang bisa Anda bawa dengan penasihat Anda."
2106,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Ya, itu normal untuk menangis selama terapi, ini adalah masa katarsis, membiarkan semuanya, menumpahkan kulit kita, menjatuhkan beban kita dan hanya untuk memberi tahu Anda, bahkan terapis kadang -kadang merasa ingin menangis dalam sesi. Meskipun orang sering menangis atau menjadi kesal, itu sama sekali bukan ukuran ""terapi yang baik"". C"
2107,"Apakah normal bagi orang untuk menangis selama terapi, atau hanya saya?","Sangat rutin untuk merasakan semua emosi yang berbeda dalam terapi. Saya memiliki klien yang menangis dalam terapi karena kebahagiaan, kesedihan, cinta, kegembiraan, dan karena tertawa begitu keras! Ya, menangis adalah bagian normal dari terapi bagi banyak orang."
2108,"Saya memiliki banyak masalah untuk diatasi. Saya memiliki riwayat pelecehan seksual, saya seorang penderita kanker payudara dan saya adalah insomnia seumur hidup. Saya memiliki sejarah panjang depresi dan saya mulai memiliki kecemasan. Saya memiliki harga diri yang rendah tetapi saya telah menikah dengan bahagia selama hampir 35 tahun. 
    Saya tidak pernah memiliki konseling tentang semua ini. Apakah saya memiliki terlalu banyak masalah untuk diatasi dalam konseling?","Izinkan saya mulai dengan mengatakan tidak pernah ada terlalu banyak kekhawatiran yang dapat Anda bawa ke dalam konseling. Bahkan, kebanyakan orang yang datang untuk melihat saya untuk konseling memiliki lebih dari satu masalah yang ingin mereka kerjakan dalam psikoterapi dan seringkali ini semua saling berhubungan. Dalam konseling, kami bekerja bersama, secara kolaboratif, untuk mencari tahu masalah mana yang ingin Anda atasi terlebih dahulu dan kemudian bersama -sama kami mengembangkan rencana perawatan individual. Pada dasarnya, ini seperti peta jalan dari mana Anda ingin pergi, bagaimana Anda akan sampai di sana, melihat singgah, beberapa rute indah yang lain mungkin tidak begitu indah, namun, perlu. Tentu saja, rencana ini juga dapat berubah karena internal (apa yang kita kendalikan seperti pikiran, perasaan dan perilaku kita) atau alasan eksternal (hal -hal yang berada di luar kendali kita). Saya akan mendorong Anda untuk mengambil langkah selanjutnya dan menjangkau seorang profesional yang dapat Anda percayai dan membangun hubungan dengan dengan bersama melalui kekhawatiran apa pun yang Anda miliki dengan memeriksa apa yang telah bekerja sejauh yang telah Anda pelajari untuk mengatasi beberapa masalah Anda Seperti insomnia, depresi dan kecemasan, serta menjadi penderita kanker payudara. Kemudian untuk membantu Anda dengan mengembangkan strategi koping baru. Psikoterapi dapat menjadi alat yang sangat kuat untuk membantu Anda mencapai tempat yang Anda inginkan. Saya tahu Anda dapat melakukannya dan Anda akan melihat langsung bagaimana psikoterapi akan membantu Anda untuk melewati titik-titik ini dalam hidup Anda di mana Anda merasa macet. Saya suka mengutip Nike di mana moto mereka berada, ""lakukan saja."" Kamu bisa melakukannya."
